Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
Almena State Bank,Almena,KS,15426,Equity Bank,"October 23, 2020",10538
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb","October 16, 2020",10537
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.","April 3, 2020",10536
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,"February 14, 2020",10535
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,"November 1, 2019",10534
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,"October 25, 2019",10533
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,"October 25, 2019",10532
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.","May 31, 2019",10531
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,"December 15, 2017",10530
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,"October 13, 2017",10529
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb","May 26, 2017",10528
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,"May 5, 2017",10527
First NBC Bank,New Orleans,LA,58302,Whitney Bank,"April 28, 2017",10526
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,"March 3, 2017",10525
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,"January 27, 2017",10524
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,"January 13, 2017",10523
Allied Bank,Mulberry,AR,91,Today's Bank,"September 23, 2016",10522
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,"August 19, 2016",10521
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,"May 6, 2016",10520
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,"April 29, 2016",10519
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,"March 11, 2016",10518
Hometown National Bank,Longview,WA,35156,Twin City Bank,"October 2, 2015",10517
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,"October 2, 2015",10516
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb","July 10, 2015",10515
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,"May 8, 2015",10514
Doral Bank  En Español,San Juan,PR,32102,Banco Popular de Puerto Rico,"February 27, 2015",10513
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,"February 13, 2015",10512
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb","January 23, 2015",10511
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,"January 16, 2015",10510
Northern Star Bank,Mankato,MN,34983,BankVista,"December 19, 2014",10509
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.","November 7, 2014",10508
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,"October 24, 2014",10507
NBRS Financial,Rising Sun,MD,4862,Howard Bank,"October 17, 2014",10506
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC","July 25, 2014",10505
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,"July 18, 2014",10504
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,"June 27, 2014",10503
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association","June 20, 2014",10501
Valley Bank,Moline,IL,10450,Great Southern Bank,"June 20, 2014",10502
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB","May 30, 2014",10500
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb","May 23, 2014",10499
AztecAmerica Bank  En Español,Berwyn,IL,57866,Republic Bank of Chicago,"May 16, 2014",10498
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,"April 25, 2014",10497
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,"February 28, 2014",10496
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,"February 28, 2014",10495
Syringa Bank,Boise,ID,34296,Sunwest Bank,"January 31, 2014",10494
The Bank of Union,El Reno,OK,17967,BancFirst,"January 24, 2014",10493
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,"January 17, 2014",10492
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB","December 13, 2013",10491
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,"October 30, 2013",10490
First National Bank also operating as The National Bank of El Paso  En Español,Edinburg,TX,14318,PlainsCapital Bank,"September 13, 2013",10488
The Community's Bank,Bridgeport,CT,57041,No Acquirer,"September 13, 2013",10489
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association","August 23, 2013",10487
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.","August 23, 2013",10486
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,"August 9, 2013",10485
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,"August 2, 2013",10484
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association","June 7, 2013",10483
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,"June 6, 2013",10482
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB","May 31, 2013",10478
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,"May 14, 2013",10479
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,"May 10, 2013",10481
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.","May 10, 2013",10480
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,"April 26, 2013",10476
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association","April 26, 2013",10477
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,"April 19, 2013",10473
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,"April 19, 2013",10475
First Federal Bank,Lexington,KY,29594,Your Community Bank,"April 19, 2013",10474
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association","April 5, 2013",10472
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,"March 8, 2013",10471
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,"February 15, 2013",10470
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,"January 18, 2013",10469
Westside Community Bank,University Place,WA,33997,Sunwest Bank,"January 11, 2013",10468
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,"December 14, 2012",10467
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association","November 16, 2012",10466
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,"November 2, 2012",10464
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,"November 2, 2012",10465
NOVA Bank,Berwyn,PA,27148,No Acquirer,"October 26, 2012",10463
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,"October 19, 2012",10460
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,"October 19, 2012",10461
GulfSouth Private Bank,Destin,FL,58073,SmartBank,"October 19, 2012",10462
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association","September 28, 2012",10459
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,"September 14, 2012",10458
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,"September 7, 2012",10457
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,"August 3, 2012",10456
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,"July 27, 2012",10455
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,"July 20, 2012",10453
Heartland Bank,Leawood,KS,1361,Metcalf Bank,"July 20, 2012",10452
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,"July 20, 2012",10450
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,"July 20, 2012",10451
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,"July 20, 2012",10454
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,"July 13, 2012",10449
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,"July 6, 2012",10448
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,"June 15, 2012",10447
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,"June 15, 2012",10446
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,"June 15, 2012",10445
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,"June 8, 2012",10444
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,"June 8, 2012",10442
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,"June 8, 2012",10441
First Capital Bank,Kingfisher,OK,416,F & M Bank,"June 8, 2012",10443
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,"May 18, 2012",10440
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,"May 4, 2012",10439
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,"April 27, 2012",10437
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,"April 27, 2012",10438
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,"April 27, 2012",10436
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,"April 27, 2012",10435
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,"April 27, 2012",10434
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,"April 20, 2012",10433
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,"March 30, 2012",10432
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,"March 23, 2012",10431
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.","March 23, 2012",10430
New City Bank,Chicago,IL,57597,No Acquirer,"March 9, 2012",10429
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,"March 2, 2012",10428
Home Savings of America,Little Falls,MN,29178,No Acquirer,"February 24, 2012",10427
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,"February 24, 2012",10426
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association","February 10, 2012",10425
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association","February 10, 2012",10424
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.","January 27, 2012",10420
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,"January 27, 2012",10422
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,"January 27, 2012",10423
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.","January 27, 2012",10421
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.","January 20, 2012",10417
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,"January 20, 2012",10419
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.","January 20, 2012",10418
Western National Bank,Phoenix,AZ,57917,Washington Federal,"December 16, 2011",10416
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,"December 16, 2011",10415
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,"November 18, 2011",10413
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,"November 18, 2011",10414
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,"November 10, 2011",10412
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,"November 4, 2011",10411
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,"November 4, 2011",10410
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,"October 28, 2011",10409
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.","October 21, 2011",10405
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,"October 21, 2011",10406
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,"October 21, 2011",10407
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,"October 21, 2011",10408
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,"October 14, 2011",10402
First State Bank,Cranford,NJ,58046,Northfield Bank,"October 14, 2011",10403
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,"October 14, 2011",10401
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,"October 14, 2011",10404
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,"October 7, 2011",10400
The RiverBank,Wyoming,MN,10216,Central Bank,"October 7, 2011",10399
First International Bank,Plano,TX,33513,American First National Bank,"September 30, 2011",10398
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,"September 23, 2011",10397
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,"September 23, 2011",10396
The First National Bank of Florida,Milton,FL,25155,CharterBank,"September 9, 2011",10395
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,"September 2, 2011",10393
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,"September 2, 2011",10394
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,"August 19, 2011",10390
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,"August 19, 2011",10391
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.","August 19, 2011",10392
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.","August 18, 2011",10389
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,"August 12, 2011",10388
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,"August 5, 2011",10387
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,"August 5, 2011",10386
Integra Bank National Association,Evansville,IN,4392,Old National Bank,"July 29, 2011",10384
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,"July 29, 2011",10383
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,"July 29, 2011",10385
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.","July 22, 2011",10380
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,"July 22, 2011",10381
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,"July 22, 2011",10382
Summit Bank,Prescott,AZ,57442,The Foothills Bank,"July 15, 2011",10379
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.","July 15, 2011",10376
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,"July 15, 2011",10377
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,"July 15, 2011",10378
Signature Bank,Windsor,CO,57835,Points West Community Bank,"July 8, 2011",10375
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,"July 8, 2011",10373
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,"July 8, 2011",10374
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,"June 24, 2011",10372
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,"June 17, 2011",10370
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,"June 17, 2011",10371
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.","June 3, 2011",10369
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,"May 27, 2011",10368
Summit Bank,Burlington,WA,513,Columbia State Bank,"May 20, 2011",10367
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association","May 20, 2011",10366
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association","May 20, 2011",10365
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011",10364
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,"April 29, 2011",10359
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,"April 29, 2011",10363
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,"April 29, 2011",10361
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10360
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10362
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,"April 15, 2011",10354
Rosemount National Bank,Rosemount,MN,24099,Central Bank,"April 15, 2011",10357
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association","April 15, 2011",10358
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,"April 15, 2011",10356
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,"April 15, 2011",10355
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,"April 15, 2011",10353
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,"April 8, 2011",10351
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,"April 8, 2011",10352
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,"March 25, 2011",10350
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,"March 11, 2011",10348
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,"March 11, 2011",10349
Valley Community Bank,St. Charles,IL,34187,First State Bank,"February 25, 2011",10347
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,"February 18, 2011",10346
Charter Oak Bank,Napa,CA,57855,Bank of Marin,"February 18, 2011",10343
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,"February 18, 2011",10344
Habersham Bank,Clarkesville,GA,151,SCBT National Association,"February 18, 2011",10345
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,"February 11, 2011",10340
Badger State Bank,Cassville,WI,13272,Royal Bank,"February 11, 2011",10339
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,"February 11, 2011",10341
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.","February 11, 2011",10342
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,"February 4, 2011",10337
North Georgia Bank,Watkinsville,GA,35242,BankSouth,"February 4, 2011",10338
American Trust Bank,Roswell,GA,57432,Renasant Bank,"February 4, 2011",10336
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.","January 28, 2011",10333
FirsTier Bank,Louisville,CO,57646,No Acquirer,"January 28, 2011",10334
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,"January 28, 2011",10332
The First State Bank,Camargo,OK,2303,Bank 7,"January 28, 2011",10335
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,"January 21, 2011",10331
The Bank of Asheville,Asheville,NC,34516,First Bank,"January 21, 2011",10330
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association","January 21, 2011",10328
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,"January 21, 2011",10329
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,"January 14, 2011",10327
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,"January 7, 2011",10326
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,"January 7, 2011",10325
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,"December 17, 2010",10321
First Southern Bank,Batesville,AR,58052,Southern Bank,"December 17, 2010",10322
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,"December 17, 2010",10323
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,"December 17, 2010",10319
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,"December 17, 2010",10320
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,"December 17, 2010",10324
Earthstar Bank,Southampton,PA,35561,Polonia Bank,"December 10, 2010",10317
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,"December 10, 2010",10318
First Banking Center,Burlington,WI,5287,First Michigan Bank,"November 19, 2010",10315
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,"November 19, 2010",10314
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,"November 19, 2010",10316
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.","November 12, 2010",10311
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,"November 12, 2010",10312
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,"November 12, 2010",10313
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,"November 5, 2010",10307
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,"November 5, 2010",10309
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,"November 5, 2010",10310
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),"November 5, 2010",10308
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,"October 22, 2010",10306
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.","October 22, 2010",10302
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,"October 22, 2010",10301
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,"October 22, 2010",10304
The Gordon Bank,Gordon,GA,33904,Morris Bank,"October 22, 2010",10305
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,"October 22, 2010",10303
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,"October 22, 2010",10300
Premier Bank,Jefferson City,MO,34016,Providence Bank,"October 15, 2010",10297
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,"October 15, 2010",10299
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,"October 15, 2010",10298
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,"October 1, 2010",10295
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,"October 1, 2010",10296
North County Bank,Arlington,WA,35053,Whidbey Island Bank,"September 24, 2010",10294
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,"September 24, 2010",10293
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB","September 17, 2010",10291
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,"September 17, 2010",10288
The Peoples Bank,Winder,GA,182,Community & Southern Bank,"September 17, 2010",10292
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,"September 17, 2010",10289
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,"September 17, 2010",10287
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,"September 17, 2010",10290
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,"September 10, 2010",10286
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,"August 20, 2010",10285
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,"August 20, 2010",10282
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.","August 20, 2010",10278
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.","August 20, 2010",10283
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,"August 20, 2010",10284
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.","August 20, 2010",10280
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.","August 20, 2010",10281
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.","August 20, 2010",10279
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,"August 13, 2010",10277
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,"August 6, 2010",10276
LibertyBank,Eugene,OR,31964,Home Federal Bank,"July 30, 2010",10273
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,"July 30, 2010",10275
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,"July 30, 2010",10272
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,"July 30, 2010",10271
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,"July 30, 2010",10274
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,"July 23, 2010",10266
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,"July 23, 2010",10267
Community Security Bank,New Prague,MN,34486,Roundbank,"July 23, 2010",10264
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,"July 23, 2010",10269
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.","July 23, 2010",10270
