Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,"July 23, 2010",10265
Sterling Bank,Lantana,FL,32536,IBERIABANK,"July 23, 2010",10268
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,"July 16, 2010",10258
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.","July 16, 2010",10260
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,"July 16, 2010",10261
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,"July 16, 2010",10259
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,"July 16, 2010",10263
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,"July 16, 2010",10262
Home National Bank,Blackwell,OK,11636,RCB Bank,"July 9, 2010",10256
USA Bank,Port Chester,NY,58072,New Century Bank,"July 9, 2010",10254
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,"July 9, 2010",10257
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010",10255
High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010",10252
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010",10251
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010",10253
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010",10250
Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010",10249
TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010",10248
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010",10246
First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010",10247
Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010",10245
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010",10244
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010",10243
Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010",10242
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010",10241
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010",10240
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010",10236
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010",10239
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010",10237
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010",10238
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010",10232
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010",10235
Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010",10233
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010",10234
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010",10228
BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010",10225
Champion Bank,Creve Coeur,MO,58362,BankLiberty,"April 30, 2010",10227
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,"April 30, 2010",10226
Westernbank Puerto Rico  En Español,Mayaguez,PR,31027,Banco Popular de Puerto Rico,"April 30, 2010",10231
R-G Premier Bank of Puerto Rico  En Español,Hato Rey,PR,32185,Scotiabank de Puerto Rico,"April 30, 2010",10230
Eurobank  En Español,San Juan,PR,27150,Oriental Bank and Trust,"April 30, 2010",10229
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,"April 23, 2010",10224
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,"April 23, 2010",10223
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,"April 23, 2010",10221
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.","April 23, 2010",10222
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,"April 23, 2010",10220
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.","April 23, 2010",10219
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,"April 23, 2010",10218
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,"April 16, 2010",10212
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.","April 16, 2010",10217
Innovative Bank,Oakland,CA,23876,Center Bank,"April 16, 2010",10214
Butler Bank,Lowell,MA,26619,People's United Bank,"April 16, 2010",10211
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.","April 16, 2010",10216
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.","April 16, 2010",10210
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.","April 16, 2010",10213
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,"April 16, 2010",10215
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,"April 9, 2010",10209
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,"March 26, 2010",10205
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,"March 26, 2010",10208
Key West Bank,Key West,FL,34684,Centennial Bank,"March 26, 2010",10206
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,"March 26, 2010",10207
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,"March 19, 2010",10203
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,"March 19, 2010",10204
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,"March 19, 2010",10202
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,"March 19, 2010",10199
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,"March 19, 2010",10200
Century Security Bank,Duluth,GA,58104,Bank of Upson,"March 19, 2010",10198
American National Bank,Parma,OH,18806,The National Bank and Trust Company,"March 19, 2010",10201
Statewide Bank,Covington,LA,29561,Home Bank,"March 12, 2010",10196
Old Southern Bank,Orlando,FL,58182,Centennial Bank,"March 12, 2010",10197
The Park Avenue Bank,New York,NY,27096,Valley National Bank,"March 12, 2010",10195
LibertyPointe Bank,New York,NY,58071,Valley National Bank,"March 11, 2010",10194
Centennial Bank,Ogden,UT,34430,No Acquirer,"March 5, 2010",10193
Waterfield Bank,Germantown,MD,34976,No Acquirer,"March 5, 2010",10190
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,"March 5, 2010",10191
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,"March 5, 2010",10192
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,"February 26, 2010",10189
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,"February 26, 2010",10188
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB","February 19, 2010",10185
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.","February 19, 2010",10184
The La Coste National Bank,La Coste,TX,3287,Community National Bank,"February 19, 2010",10186
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,"February 19, 2010",10187
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB","February 5, 2010",10183
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,"January 29, 2010",10178
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,"January 29, 2010",10177
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,"January 29, 2010",10180
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,"January 29, 2010",10182
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.","January 29, 2010",10181
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,"January 29, 2010",10179
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,"January 22, 2010",10176
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,"January 22, 2010",10172
Charter Bank,Santa Fe,NM,32498,Charter Bank,"January 22, 2010",10175
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.","January 22, 2010",10174
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.","January 22, 2010",10173
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,"January 15, 2010",10171
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,"January 15, 2010",10169
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,"January 15, 2010",10170
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,"January 8, 2010",10168
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB","December 18, 2009",10167
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,"December 18, 2009",10161
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),"December 18, 2009",10166
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,"December 18, 2009",10163
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,"December 18, 2009",10162
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009",10165
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009",10164
SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009",10160
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009",10159
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009",10158
Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009",10156
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009",10154
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009",10155
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009",10153
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009",10157
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009",10152
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009",10151
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009",10150
Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009",10149
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009",10148
United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009",10147
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009",10146
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009",10143
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009",10144
United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009",10145
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009",10138
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009",10142
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009",10141
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009",10140
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009",10139
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009",10134
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009",10135
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009",10137
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009",10136
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009",10128
Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009",10133
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009",10132
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009",10129
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009",10131
American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009",10127
Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009",10130
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009",10126
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009",10123
Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009",10124
Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009",10125
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009",10122
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009",10121
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009",10120
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009",10119
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009",10118
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009",10117
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009",10114
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009",10115
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009",10116
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009",10113
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009",10112
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009",10110
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009",10111
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009",10109
Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009",10105
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009",10106
First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009",10108
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009",10107
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009",10100
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009",10101
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009",10102
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009",10103
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009",10104
Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009",10092
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009",10099
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009",10098
Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009",10094
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009",10097
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009",10096
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009",10095
First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009",10093
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009",10088
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009",10087
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009",10085
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009",10090
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009",10089
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009",10086
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009",10091
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009",10082
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009",10083
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009",10081
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009",10084
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009",10080
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009",10074
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009",10079
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.","July 2, 2009",10078
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,"July 2, 2009",10073
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,"July 2, 2009",10075
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,"July 2, 2009",10077
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,"July 2, 2009",10076
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,"June 26, 2009",10072
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,"June 26, 2009",10071
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.","June 26, 2009",10070
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,"June 26, 2009",10069
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,"June 26, 2009",10068
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,"June 19, 2009",10066
Cooperative Bank,Wilmington,NC,27837,First Bank,"June 19, 2009",10065
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,"June 19, 2009",10067
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,"June 5, 2009",10064
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,"May 22, 2009",10063
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,"May 22, 2009",10062
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,"May 21, 2009",10061
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,"May 8, 2009",10060
America West Bank,Layton,UT,35461,Cache Valley Bank,"May 1, 2009",10057
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,"May 1, 2009",10058
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,"May 1, 2009",10059
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.","April 24, 2009",10055
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,"April 24, 2009",10054
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,"April 24, 2009",10056
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,"April 24, 2009",10053
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,"April 17, 2009",10051
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,"April 17, 2009",10052
New Frontier Bank,Greeley,CO,34881,No Acquirer,"April 10, 2009",10050
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,"April 10, 2009",10049
Omni National Bank,Atlanta,GA,22238,No Acquirer,"March 27, 2009",10048
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,"March 20, 2009",10046
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,"March 20, 2009",10045
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,"March 20, 2009",10047
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,"March 6, 2009",10044
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,"February 27, 2009",10043
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.","February 27, 2009",10042
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,"February 20, 2009",10041
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,"February 13, 2009",10040
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,"February 13, 2009",10037
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,"February 13, 2009",10038
Sherman County Bank,Loup City,NE,5431,Heritage Bank,"February 13, 2009",10039
County Bank,Merced,CA,22574,Westamerica Bank,"February 6, 2009",10034
Alliance Bank,Culver City,CA,23124,California Bank & Trust,"February 6, 2009",10035
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,"February 6, 2009",10036
Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.","January 30, 2009",10032
Suburban FSB,Crofton,MD,30763,Bank of Essex,"January 30, 2009",10033
MagnetBank,Salt Lake City,UT,58001,No Acquirer,"January 30, 2009",10031
1st Centennial Bank,Redlands,CA,33025,First California Bank,"January 23, 2009",10030
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,"January 16, 2009",10029
National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,"January 16, 2009",10028
Sanderson State Bank  En Español,Sanderson,TX,11568,The Pecos County State Bank,"December 12, 2008",10026
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)","December 12, 2008",10027
First Georgia Community Bank,Jackson,GA,34301,United Bank,"December 5, 2008",10025
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.","November 21, 2008",10024
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.","November 21, 2008",10023
Community Bank,Loganville,GA,16490,Bank of Essex,"November 21, 2008",10022
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,"November 7, 2008",10020
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,"November 7, 2008",10021
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,"October 31, 2008",10019
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.","October 24, 2008",10018
Meridian Bank,Eldred,IL,13789,National Bank,"October 10, 2008",10017
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,"October 10, 2008",10016
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,"September 25, 2008",10015
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.","September 19, 2008",10014
Silver State Bank  En Español,Henderson,NV,34194,Nevada State Bank,"September 5, 2008",10013
Integrity Bank,Alpharetta,GA,35469,Regions Bank,"August 29, 2008",10012
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,"August 22, 2008",10011
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,"August 1, 2008",10010
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,"July 25, 2008",10009
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,"July 25, 2008",10008
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB","July 11, 2008",10007
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,"May 30, 2008",10006
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,"May 9, 2008",10005
Hume Bank,Hume,MO,1971,Security Bank,"March 7, 2008",10004
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,"January 25, 2008",10003
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,"October 4, 2007",10002
NetBank,Alpharetta,GA,32575,ING DIRECT,"September 28, 2007",10001
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,"February 2, 2007",10000
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,"June 25, 2004",4665
Reliance Bank,White Plains,NY,26778,Union State Bank,"March 19, 2004",4664
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,"March 12, 2004",4663
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,"February 14, 2004",6006
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,"November 14, 2003",4662
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,"May 9, 2003",4661
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,"February 7, 2003",4660
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,"December 17, 2002",4659
Bank of Alamo,Alamo,TN,9961,No Acquirer,"November 8, 2002",4658
AmTrade International Bank  En Español,Atlanta,GA,33784,No Acquirer,"September 30, 2002",4657
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,"June 27, 2002",6005
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,"June 26, 2002",4656
New Century Bank,Shelby Township,MI,34979,No Acquirer,"March 28, 2002",4655
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,"March 1, 2002",4654
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,"February 7, 2002",4653
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,"February 1, 2002",4652
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,"January 18, 2002",4651
"Hamilton Bank, NA  En Español",Miami,FL,24382,Israel Discount Bank of New York,"January 11, 2002",4650
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,"September 7, 2001",4649
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB","July 27, 2001",6004
Malta National Bank,Malta,OH,6629,North Valley Bank,"May 3, 2001",4648
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,"February 2, 2001",4647
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,"December 14, 2000",4646
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,"October 13, 2000",4645
